Email,Phone,CreditScore,AgeGroup,FamilyBackground,Income,Profession,CompanyType,City,Comment,LeadIntent
user93@gmail.com,+91-7931679275,818,18-25,Married,202524,Manager,MNC,Bangalore,not interested,0
user94@yahoo.com,+91-7697157321,568,51+,Married,970973,Sales Rep,Self-employed,Ahmedabad,price too high,0
user95@testmail.com,+91-9843254205,675,18-25,Married with Kids,334515,Doctor,Self-employed,Hyderabad,not interested,0
user96@yahoo.com,+91-9979969507,303,36-50,Single,983670,Freelancer,Startup,Pune,just exploring,0
user97@outlook.com,+91-8567960845,437,26-35,Married with Kids,297329,Freelancer,Government,Ahmedabad,no time,0
user98@yahoo.com,+91-9123609438,530,18-25,Single,993879,Engineer,MNC,Pune,not interested,0
user99@gmail.com,+91-9959419695,828,36-50,Single,200185,Manager,Startup,Pune,just exploring,0
user100@gmail.com,+91-7402481934,351,26-35,Single,290643,Freelancer,Startup,Ahmedabad,maybe later,0
user101@testmail.com,+91-6380072391,624,26-35,Single,580317,Freelancer,Government,Bangalore,no time,0
user102@yahoo.com,+91-8450038221,576,26-35,Single,795078,Doctor,Government,Bangalore,price too high,0
user103@testmail.com,+91-6841739990,835,18-25,Married,372112,Engineer,MNC,Delhi,not interested,0
user104@yahoo.com,+91-8236966139,785,51+,Single,180634,Freelancer,MNC,Delhi,ready to close,0
user105@outlook.com,+91-6194249720,815,26-35,Married,221865,Freelancer,MNC,Pune,urgent,1
user106@outlook.com,+91-7397283111,451,18-25,Single,960858,Doctor,Startup,Mumbai,not interested,0
user107@yahoo.com,+91-9627245268,782,51+,Married,750136,Unemployed,Self-employed,Hyderabad,maybe later,0
user108@gmail.com,+91-7669356239,558,26-35,Married with Kids,815291,Doctor,Government,Delhi,call me,1
user109@testmail.com,+91-9209715436,623,18-25,Married with Kids,247915,Unemployed,MNC,Hyderabad,just exploring,0
user110@testmail.com,+91-7165435217,467,26-35,Married,191196,Sales Rep,MNC,Ahmedabad,call me,0
user111@outlook.com,+91-8317960046,609,26-35,Single,811737,Manager,Startup,Mumbai,keen to buy,0
user112@testmail.com,+91-9559400500,778,18-25,Married,911307,Unemployed,MNC,Pune,urgent,1
user113@yahoo.com,+91-8520077079,355,26-35,Married,159888,Sales Rep,Startup,Hyderabad,price too high,0
user114@testmail.com,+91-7532243865,772,51+,Single,836594,Teacher,Self-employed,Ahmedabad,just exploring,0
user115@testmail.com,+91-7206604539,595,18-25,Married with Kids,355227,Freelancer,Startup,Pune,keen to buy,0
user116@outlook.com,+91-8607192251,760,26-35,Married,519222,Doctor,Government,Hyderabad,no time,1
user117@gmail.com,+91-8330861947,623,26-35,Married with Kids,648813,Unemployed,Startup,Mumbai,price too high,0
user118@gmail.com,+91-7185407468,440,26-35,Married with Kids,727967,Manager,Self-employed,Delhi,call me,1
user119@outlook.com,+91-6605264936,561,51+,Married with Kids,152604,Unemployed,Self-employed,Bangalore,interested,0
user120@yahoo.com,+91-7272485020,719,26-35,Married,590062,Teacher,Government,Pune,price too high,1
user121@yahoo.com,+91-9445409806,540,18-25,Married,847860,Freelancer,Startup,Delhi,not interested,0
user122@gmail.com,+91-6709816108,654,26-35,Single,761285,Teacher,Government,Hyderabad,call me,1
user123@gmail.com,+91-6320192576,479,18-25,Single,609725,Sales Rep,Self-employed,Ahmedabad,ready to close,0
user124@yahoo.com,+91-6067157848,365,36-50,Married,526972,Teacher,Startup,Ahmedabad,call me,1
user125@yahoo.com,+91-7818495496,647,18-25,Single,386933,Unemployed,MNC,Delhi,not interested,0
user126@testmail.com,+91-9316766039,470,26-35,Married with Kids,772275,Engineer,Self-employed,Bangalore,call me,1
user127@gmail.com,+91-7696003200,773,26-35,Married with Kids,889349,Engineer,Self-employed,Pune,just exploring,1
user128@outlook.com,+91-6853477355,833,26-35,Married,752863,Engineer,Government,Pune,not interested,1
user129@yahoo.com,+91-7260522119,666,26-35,Married with Kids,726211,Freelancer,Self-employed,Delhi,interested,0
user130@yahoo.com,+91-6023717335,406,18-25,Married,945760,Teacher,Government,Mumbai,keen to buy,0
user131@gmail.com,+91-6060472382,738,51+,Married,683890,Freelancer,Startup,Hyderabad,keen to buy,0
user132@yahoo.com,+91-9502380170,526,26-35,Married,110410,Freelancer,MNC,Delhi,ready to close,0
user133@yahoo.com,+91-6854021618,743,51+,Married with Kids,850105,Doctor,MNC,Mumbai,ready to close,1
user134@testmail.com,+91-9035929168,741,26-35,Married,637862,Manager,Government,Pune,no time,1
user135@outlook.com,+91-9055190407,695,36-50,Married,197057,Engineer,MNC,Hyderabad,interested,0
user136@outlook.com,+91-9131061922,383,18-25,Single,817475,Engineer,MNC,Pune,maybe later,0
user137@outlook.com,+91-9393778082,850,36-50,Married with Kids,325669,Engineer,Self-employed,Bangalore,keen to buy,1
user138@yahoo.com,+91-9312580896,312,26-35,Married,270404,Sales Rep,Self-employed,Ahmedabad,interested,0
user139@yahoo.com,+91-8602578298,792,26-35,Single,159453,Sales Rep,Startup,Mumbai,call me,1
user140@yahoo.com,+91-6318019332,567,36-50,Married,463508,Unemployed,Self-employed,Bangalore,not interested,0
user141@testmail.com,+91-9978431977,824,26-35,Married with Kids,748776,Unemployed,Self-employed,Bangalore,call me,1
user142@gmail.com,+91-7539598566,419,26-35,Single,508042,Engineer,Self-employed,Bangalore,ready to close,1
user143@outlook.com,+91-8796354553,652,18-25,Single,213535,Engineer,Self-employed,Mumbai,keen to buy,0
user144@testmail.com,+91-6497653800,356,18-25,Married,130779,Freelancer,MNC,Hyderabad,no time,0
user145@yahoo.com,+91-9929721883,339,26-35,Married,528508,Sales Rep,MNC,Pune,just exploring,0
user146@yahoo.com,+91-9707000966,635,18-25,Married with Kids,374751,Manager,MNC,Hyderabad,call me,0
user147@outlook.com,+91-9650887880,472,26-35,Married with Kids,870737,Doctor,Self-employed,Ahmedabad,call me,1
user148@outlook.com,+91-8677045063,846,18-25,Married,290515,Manager,MNC,Hyderabad,interested,0
user149@testmail.com,+91-7930375947,558,18-25,Single,276784,Freelancer,Startup,Hyderabad,keen to buy,0
user150@yahoo.com,+91-7421196193,816,26-35,Married with Kids,408027,Doctor,Startup,Pune,ready to close,1
user151@gmail.com,+91-6409783328,822,26-35,Married with Kids,625388,Teacher,Self-employed,Pune,not interested,1
user152@yahoo.com,+91-6272981039,416,51+,Single,894742,Teacher,MNC,Mumbai,interested,0
user153@gmail.com,+91-7592652278,483,26-35,Married,799088,Manager,Startup,Ahmedabad,interested,0
user154@gmail.com,+91-7335658902,415,51+,Married with Kids,924501,Sales Rep,Government,Delhi,maybe later,0
user155@testmail.com,+91-8872651325,461,36-50,Single,845097,Unemployed,Self-employed,Pune,no time,0
user156@yahoo.com,+91-7396651735,842,51+,Married with Kids,934172,Unemployed,Startup,Pune,interested,1
user157@outlook.com,+91-8860114724,536,36-50,Single,216888,Engineer,Startup,Ahmedabad,call me,0
user158@gmail.com,+91-9133634658,365,36-50,Married with Kids,109233,Teacher,Startup,Delhi,price too high,0
user159@testmail.com,+91-8539604651,369,26-35,Married,231568,Freelancer,Government,Pune,urgent,0
user160@testmail.com,+91-8738288487,746,18-25,Single,195979,Unemployed,Government,Hyderabad,no time,0
user161@testmail.com,+91-7179921109,715,18-25,Married with Kids,156121,Sales Rep,Government,Ahmedabad,maybe later,0
user162@yahoo.com,+91-9810549722,831,51+,Married with Kids,996060,Sales Rep,Startup,Pune,keen to buy,1
user163@outlook.com,+91-8410522146,740,51+,Single,134421,Doctor,Government,Mumbai,price too high,0
user164@outlook.com,+91-8028147648,763,36-50,Single,271086,Teacher,Self-employed,Pune,maybe later,0
user165@testmail.com,+91-7644658402,695,51+,Married,327142,Manager,Government,Delhi,ready to close,0
user166@yahoo.com,+91-6513653348,850,51+,Single,224586,Freelancer,Self-employed,Hyderabad,interested,0
user167@yahoo.com,+91-9063363021,694,26-35,Married with Kids,670855,Sales Rep,Startup,Delhi,maybe later,0
user168@testmail.com,+91-9646057090,625,36-50,Married,182163,Manager,MNC,Ahmedabad,keen to buy,0
user169@outlook.com,+91-9267546880,390,26-35,Single,958967,Manager,Self-employed,Pune,maybe later,0
user170@yahoo.com,+91-9099804676,369,26-35,Married with Kids,322858,Freelancer,Self-employed,Pune,ready to close,0
user171@gmail.com,+91-8410667225,465,18-25,Single,532727,Teacher,Self-employed,Mumbai,no time,0
user172@outlook.com,+91-7013547510,513,26-35,Married with Kids,299300,Freelancer,Startup,Hyderabad,urgent,0
user173@yahoo.com,+91-9311278846,634,36-50,Married with Kids,368217,Manager,Self-employed,Pune,interested,0
user174@yahoo.com,+91-7099805069,668,26-35,Married,992966,Unemployed,Startup,Mumbai,not interested,0
user175@outlook.com,+91-8120835942,348,51+,Married,299855,Manager,Self-employed,Mumbai,call me,0
user176@outlook.com,+91-6173660954,351,26-35,Single,450685,Engineer,Startup,Delhi,interested,0
user177@yahoo.com,+91-8245120392,588,18-25,Married,707823,Unemployed,MNC,Hyderabad,urgent,0
user178@yahoo.com,+91-9052273870,538,36-50,Single,886451,Unemployed,Startup,Bangalore,interested,0
user179@yahoo.com,+91-7836274702,432,36-50,Married,376304,Freelancer,Startup,Ahmedabad,price too high,0
user180@gmail.com,+91-6476272473,465,18-25,Married,540594,Manager,MNC,Mumbai,ready to close,1
user181@yahoo.com,+91-6109174313,673,26-35,Single,775515,Engineer,Startup,Bangalore,urgent,1
user182@gmail.com,+91-7886935931,672,26-35,Married,795449,Teacher,Startup,Delhi,not interested,0
user183@outlook.com,+91-6463390156,777,51+,Married,335982,Manager,Self-employed,Mumbai,just exploring,0
user184@testmail.com,+91-6866377394,778,36-50,Married,132398,Sales Rep,Startup,Ahmedabad,call me,1
user185@outlook.com,+91-6134987326,599,18-25,Married,685939,Freelancer,Self-employed,Hyderabad,price too high,0
user186@gmail.com,+91-9847275359,381,26-35,Single,541821,Manager,MNC,Bangalore,maybe later,1
user187@gmail.com,+91-8733361894,386,51+,Married with Kids,599348,Engineer,Startup,Hyderabad,ready to close,1
user188@outlook.com,+91-8041699568,524,36-50,Single,309314,Sales Rep,MNC,Bangalore,just exploring,0
user189@yahoo.com,+91-7350148659,315,36-50,Single,739482,Teacher,MNC,Delhi,price too high,0
user190@yahoo.com,+91-8419250172,657,26-35,Single,261395,Freelancer,Government,Mumbai,no time,0
user191@testmail.com,+91-8184294495,462,51+,Married,715268,Doctor,Startup,Mumbai,interested,0
user192@testmail.com,+91-8987218819,813,36-50,Married,213866,Doctor,Startup,Delhi,not interested,0
user193@yahoo.com,+91-9897968349,649,36-50,Married with Kids,128566,Engineer,Self-employed,Ahmedabad,ready to close,1
user194@gmail.com,+91-6598424036,763,26-35,Married,792715,Teacher,Self-employed,Ahmedabad,just exploring,0
user195@gmail.com,+91-7070701974,674,51+,Married with Kids,811112,Teacher,Government,Pune,no time,0
user196@yahoo.com,+91-8595952870,391,36-50,Married with Kids,142129,Manager,Government,Bangalore,not interested,0
user197@yahoo.com,+91-7762581228,480,51+,Married,990093,Doctor,Startup,Ahmedabad,urgent,0
user198@outlook.com,+91-8318599822,600,26-35,Married with Kids,674179,Manager,Startup,Ahmedabad,interested,1
user199@testmail.com,+91-9245067434,488,18-25,Single,634270,Teacher,Government,Bangalore,not interested,0
user200@gmail.com,+91-6872141340,613,26-35,Single,201359,Engineer,Startup,Pune,maybe later,0
user201@outlook.com,+91-6982680611,792,26-35,Single,743363,Engineer,Startup,Delhi,just exploring,1
user202@yahoo.com,+91-6330626207,427,26-35,Married with Kids,831071,Sales Rep,Startup,Hyderabad,keen to buy,0
user203@yahoo.com,+91-8572107590,818,26-35,Married with Kids,153074,Unemployed,Government,Hyderabad,maybe later,1
user204@yahoo.com,+91-7244473018,725,26-35,Single,225277,Engineer,Government,Delhi,not interested,0
user205@outlook.com,+91-8984078578,486,36-50,Married,132185,Unemployed,MNC,Hyderabad,urgent,0
user206@testmail.com,+91-6692440149,849,18-25,Single,604050,Doctor,Self-employed,Delhi,interested,0
user207@outlook.com,+91-9781580571,752,26-35,Married,809838,Sales Rep,MNC,Bangalore,maybe later,1
user208@testmail.com,+91-9993020993,770,51+,Married,312395,Doctor,Startup,Bangalore,call me,0
user209@testmail.com,+91-8681580201,523,26-35,Married with Kids,167325,Manager,Startup,Pune,just exploring,0
user210@yahoo.com,+91-9470850604,453,26-35,Married with Kids,574059,Unemployed,MNC,Ahmedabad,maybe later,1
user211@testmail.com,+91-7269737021,650,26-35,Married,221089,Manager,MNC,Delhi,keen to buy,0
user212@outlook.com,+91-8720448440,446,26-35,Married,624872,Engineer,MNC,Ahmedabad,urgent,1
user213@testmail.com,+91-6453094388,648,18-25,Married,270018,Sales Rep,Startup,Hyderabad,keen to buy,0
user214@testmail.com,+91-9742894725,481,26-35,Married with Kids,217888,Doctor,Startup,Delhi,urgent,0
user215@yahoo.com,+91-7960801051,478,51+,Single,360525,Doctor,MNC,Mumbai,just exploring,0
user216@testmail.com,+91-9451745307,338,26-35,Married,755035,Teacher,Government,Pune,price too high,0
user217@yahoo.com,+91-6938194539,302,18-25,Married with Kids,347102,Engineer,Self-employed,Mumbai,no time,0
user218@gmail.com,+91-6801312299,363,36-50,Single,933755,Freelancer,Self-employed,Pune,urgent,1
user219@gmail.com,+91-7788896595,328,26-35,Married with Kids,751564,Manager,MNC,Pune,price too high,1
user220@testmail.com,+91-9833511709,671,18-25,Single,326940,Unemployed,Government,Pune,ready to close,0
user221@outlook.com,+91-9793659837,822,51+,Married with Kids,475844,Freelancer,Self-employed,Mumbai,no time,0
user222@gmail.com,+91-8316457290,396,18-25,Single,995750,Unemployed,Government,Pune,price too high,0
user223@outlook.com,+91-7393051263,741,51+,Married,782383,Teacher,Self-employed,Delhi,price too high,0
user224@testmail.com,+91-9467929081,502,26-35,Married with Kids,846637,Manager,Self-employed,Delhi,no time,0
user225@gmail.com,+91-6524363766,710,36-50,Single,638757,Unemployed,Startup,Mumbai,maybe later,1
user226@yahoo.com,+91-9848682843,320,26-35,Single,967772,Manager,Government,Bangalore,not interested,0
user227@gmail.com,+91-7530287576,850,26-35,Single,989492,Unemployed,Self-employed,Bangalore,call me,1
user228@yahoo.com,+91-7365814502,401,36-50,Married,238527,Doctor,Government,Mumbai,urgent,0
user229@yahoo.com,+91-9894798525,345,51+,Married with Kids,294437,Manager,MNC,Pune,maybe later,0
user230@gmail.com,+91-6472669408,365,36-50,Single,953030,Sales Rep,MNC,Pune,maybe later,0
user231@yahoo.com,+91-7168799104,463,36-50,Married,522192,Manager,Government,Pune,not interested,0
user232@testmail.com,+91-6978974072,410,51+,Married,160698,Unemployed,Self-employed,Mumbai,keen to buy,0
user233@gmail.com,+91-8781807898,637,26-35,Married,256173,Sales Rep,MNC,Pune,ready to close,0
user234@yahoo.com,+91-7834414013,422,18-25,Married,306182,Unemployed,MNC,Delhi,call me,0
user235@outlook.com,+91-6002235000,746,18-25,Married,612885,Manager,Self-employed,Pune,keen to buy,1
user236@testmail.com,+91-9513346675,590,36-50,Married,278553,Teacher,MNC,Mumbai,call me,0
user237@testmail.com,+91-7514271692,711,36-50,Married,433746,Unemployed,MNC,Pune,no time,0
user238@gmail.com,+91-9696809704,580,36-50,Married with Kids,252856,Doctor,Self-employed,Delhi,not interested,0
user239@yahoo.com,+91-7309025538,342,51+,Married with Kids,728276,Teacher,Government,Ahmedabad,ready to close,1
user240@gmail.com,+91-6029859174,785,36-50,Married,784042,Doctor,Government,Mumbai,interested,1
user241@testmail.com,+91-6707191493,350,26-35,Single,897346,Unemployed,Self-employed,Bangalore,just exploring,0
user242@outlook.com,+91-8193642951,509,18-25,Single,926038,Unemployed,Self-employed,Mumbai,urgent,0
user243@yahoo.com,+91-8293896602,425,51+,Single,877401,Teacher,Government,Hyderabad,price too high,0
user244@yahoo.com,+91-7792766600,791,18-25,Married,169603,Unemployed,Self-employed,Bangalore,keen to buy,0
user245@yahoo.com,+91-8082328893,808,26-35,Single,595624,Engineer,Government,Bangalore,call me,1
user246@outlook.com,+91-6953945764,557,26-35,Married with Kids,475606,Manager,Government,Mumbai,just exploring,0
user247@yahoo.com,+91-8973990112,487,26-35,Married with Kids,484638,Manager,Startup,Hyderabad,price too high,0
user248@gmail.com,+91-6514817842,529,36-50,Married with Kids,385182,Engineer,MNC,Bangalore,maybe later,0
user249@yahoo.com,+91-7157117161,488,18-25,Married with Kids,487573,Engineer,Self-employed,Ahmedabad,no time,0
user250@outlook.com,+91-7450046123,714,51+,Married,375013,Sales Rep,Startup,Pune,interested,0
user251@outlook.com,+91-7048511127,309,26-35,Married with Kids,636346,Teacher,Government,Hyderabad,urgent,1
user252@gmail.com,+91-6722804538,413,36-50,Single,242089,Unemployed,Self-employed,Hyderabad,ready to close,0
user253@outlook.com,+91-7388146037,375,36-50,Single,562486,Manager,MNC,Ahmedabad,urgent,1
user254@yahoo.com,+91-6939585183,801,36-50,Married with Kids,975156,Sales Rep,Government,Ahmedabad,price too high,1
user255@gmail.com,+91-8228188767,384,51+,Married with Kids,871289,Unemployed,Startup,Mumbai,keen to buy,0
user256@yahoo.com,+91-8397029847,348,18-25,Married with Kids,365644,Unemployed,Government,Mumbai,interested,0
user257@testmail.com,+91-9019443432,794,18-25,Single,978594,Freelancer,Self-employed,Mumbai,maybe later,0
user258@gmail.com,+91-7734463155,686,18-25,Single,547898,Manager,MNC,Hyderabad,ready to close,1
user259@outlook.com,+91-7561777264,688,51+,Married with Kids,430941,Unemployed,Government,Delhi,keen to buy,0
user260@yahoo.com,+91-6278710077,517,51+,Single,734921,Engineer,Self-employed,Mumbai,just exploring,0
user261@testmail.com,+91-7090558393,645,26-35,Single,877312,Sales Rep,Self-employed,Delhi,just exploring,0
user262@gmail.com,+91-7060324619,529,36-50,Married,677283,Freelancer,Government,Bangalore,interested,0
user263@gmail.com,+91-7081396733,554,18-25,Married with Kids,825721,Sales Rep,MNC,Pune,keen to buy,0
user264@outlook.com,+91-8990604070,535,18-25,Married with Kids,495197,Sales Rep,Self-employed,Ahmedabad,not interested,0
user265@outlook.com,+91-8135666049,325,36-50,Married,444711,Teacher,Startup,Pune,urgent,0
